路線,門市名稱,地址,X,Y
台北-新竹,7-ELEVEN 慶祥門市,新北市土城區中華路二段126號1樓,121.4375639,24.97382856
台北-新竹,全家便利商店 鴻啟店,台北市中正區忠孝西路一段１００號,121.5126683,25.04718606
台北-新竹,7-ELEVEN 安溪門市,新北市三峽區大同路188、190號,121.3715462,24.92718108
台北-新竹,7-ELEVEN 士香門市,桃園市大溪區員林路一段228號,121.277006,24.89556822
台北-新竹,全家便利商店 龍潭武漢店,桃園市龍潭區中興路３３４號１樓,121.2325714,24.87380029
台北-新竹,7-ELEVEN 關西門市,新竹縣關西鎮正義路286-1號1樓,121.1725498,24.79704411
台北-新竹,7-ELEVEN 竹北門市,新竹縣竹北市中正東路194號,121.0148691,24.8353298
新竹-台中,7-ELEVEN 龍鳳門市,苗栗縣竹南鎮龍鳳里龍江街25號,120.8671269,24.69570957
新竹-台中,龍港車站,苗栗縣後龍鎮龍京里公司寮85號,120.6937417,24.49746339
新竹-台中,萊爾富北勢窩店,苗栗縣通霄鎮烏眉路13號,120.6169602,24.34700364
新竹-台中,7-ELEVEN 新美門市,台中市大甲區經國路329號,120.6169575,24.34701309
新竹-台中,7-ELEVEN 市民門市,台中市西區公益路157號,120.6628252,24.15066748
台中-嘉義,7-ELEVEN 附育門市,彰化縣彰化市中山路三段229號,120.5588561,24.08643663
台中-嘉義,7-ELEVEN 新百川門市,彰化縣員林市莒光路379號,120.5664466,23.95986449
台中-嘉義,全家便利商店 西螺三井店,雲林縣西螺鎮振興119號之1號,120.4710755,23.78891958
台中-嘉義,7-ELEVEN 真嘉門市,雲林縣斗南鎮南昌西路1號,120.4759443,23.67254648
台中-嘉義,7-ELEVEN 民城門市,嘉義縣民雄鄉建國路一段134號,120.4338035,23.55722996
台中-嘉義,7-ELEVEN 新嘉勝門市 ,嘉義市150152號西區博愛路一段419、421號 號 及 北興街148號,120.4418285,23.48408432
嘉義-高雄,新營車站,台南市新營區中山路1號,120.3230771,23.3069288
嘉義-高雄,7-ELEVEN 茄拔門市 ,台南市善化區13鄰352號352號,120.3225768,23.13742092
嘉義-高雄,7-ELEVEN 一心門市,台南市東區中華東路一段24號,120.2342907,22.99725661
嘉義-高雄,岡山車站 ,高雄市岡山區碧紅里岡燕路111號,120.3000035,22.79256023
嘉義-高雄,全家便利商店 高雄民如店 ,高雄市三民區民族一路13號,120.3137644,22.64081581
高雄-屏東,全家便利商店 高雄沿海店,高雄市小港區沿海一路397之5號,120.3560789,22.56268268
高雄-屏東,7-ELEVEN 大鵬灣門市,屏東縣東港鎮船頭路26之33號,120.4668972,22.46135872
高雄-屏東,7-ELEVEN 維軒門市,屏東縣枋寮鄉中山路二段143號,120.5956582,22.38258799
高雄-屏東,7-ELEVEN海豚灣門市,屏東縣枋山鄉中山路三段61-3號,120.6628496,22.24450254
高雄-屏東,7-ELEVEN 車城門市,屏東縣車城鄉中山路74號 76號1樓,120.7138115,22.07451499
屏東-台東,7-ELEVEN 牡丹門市 ,屏東縣牡丹鄉石門路5號 5-2號,120.7749331,22.12658348
屏東-台東,壽卡鐵馬驛站 ,屏東縣獅子鄉壽卡鐵馬驛站,120.8357454,22.24524312
屏東-台東,7-ELEVEN 尚武門市 ,台東縣大武鄉環港路3號,120.8930135,22.33989768
屏東-台東,金崙站,臺東縣太麻里鄉金崙村金崙47之17號,120.9672503,22.53166965
屏東-台東,7-ELEVEN 新太麻里門市 ,台東縣太麻里鄉外環路128號1樓,121.0056597,22.60984661
屏東-台東,7-ELEVEN 知本門市 ,台東縣台東市知本路四段2號,121.0415532,22.70624543
屏東-台東,7-ELEVEN 仁毅門市,台東縣台東市新生路680號684號1樓682,121.1360763,22.76359643
台東-花蓮,鹿野站,臺東縣鹿野鄉鹿野村中正路38號,121.1370023,22.91248741
台東-花蓮,池上火車站,台東縣池上鄉鐵花路30號,121.2194615,23.12614965
台東-花蓮,7-Eleven 興玉門市 ,花蓮縣玉里鎮興國路二段23號,121.3199733,23.3364879
花蓮-宜蘭,7-ELEVEn 瑞權門市,花蓮縣瑞穗鄉瑞北路30之2號,121.3768996,23.51708322
花蓮-宜蘭,7-ELEVEn 鳳悅門市,花蓮縣鳳林鎮信義路216號1樓,121.4537706,23.74720339
花蓮-宜蘭,全家便利商店 花蓮中福店,花蓮縣花蓮市中正路268號,121.6011956,23.97307994
花蓮-宜蘭,和平火車站,花蓮縣秀林鄉和平村和平276號,121.7533306,24.29836042
花蓮-宜蘭,7-ELEVEN 金玉門市,宜蘭縣南澳鄉蘇花路二段165號1樓,121.7978258,24.46392559
花蓮-宜蘭,蘇澳新火車站,宜蘭縣蘇澳鎮聖愛里中山路二段238號,121.8276731,24.60898218
花蓮-宜蘭,全家便利商店 羅東新興東店,宜蘭縣羅東鎮純精路一段236號,121.7639018,24.67423344
花蓮-宜蘭,7-Eleven詠富門市 ,宜蘭縣礁溪鄉礁溪路五段152號,121.7735148,24.82839338
宜蘭-台北,7-ELEVEN 頭城門市 ,宜蘭縣頭城鎮青雲路三段96號1樓,121.8241882,24.85594964
宜蘭-台北,大里火車站,宜蘭縣頭城鎮大里里濱海路六段326號,121.9225362,24.96681339
宜蘭-台北,福隆車站,新北市貢寮區福隆里福隆街2號,121.9446688,25.01599813
宜蘭-台北,全家便利商店 平溪十分店 ,新北市平溪區靜安路三段331號,121.7793775,25.04476323
宜蘭-台北,八堵車站 ,基隆市暖暖區八南里八堵路142號,121.729031,25.108605
宜蘭-台北,7-ELEVEN 汐科門市 ,新北市汐止區大同路二段167-1號,121.6511194,25.06406154
